10 10
sprites/tile_45.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_69.png 1 0
sprites/tile_53.png 1 0
sprites/tile_33.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_34.png 1 0
sprites/tile_55.png 1 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_0.png 0 0
sprites/tile_10.png 0 0
sprites/tile_11.png 0 0
sprites/tile_11.png 0 0
sprites/tile_12.png 0 0
sprites/tile_0.png 0 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_0.png 0 0
sprites/tile_30.png 0 0
sprites/tile_14.png 0 0
sprites/tile_21.png 0 0
sprites/tile_23.png 0 0
sprites/tile_12.png 0 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_0.png 0 0
sprites/tile_0.png 0 0
sprites/tile_20.png 0 0
sprites/tile_21.png 0 0
sprites/tile_13.png 0 0
sprites/tile_32.png 0 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_0.png 0 0
sprites/tile_0.png 0 0
sprites/tile_30.png 0 0
sprites/tile_21.png 0 0
sprites/tile_32.png 0 0
sprites/tile_0.png 0 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_15.png 0 0
sprites/tile_17.png 0 0
sprites/tile_0.png 0 0
sprites/tile_0.png 0 0
sprites/tile_0.png 0 0
sprites/tile_0.png 0 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_35.png 0 0
sprites/tile_37.png 0 0
sprites/tile_0.png 0 0
sprites/tile_0.png 0 0
sprites/tile_0.png 0 0
sprites/tile_0.png 0 0
sprites/tile_53.png 1 0
sprites/tile_55.png 1 0
sprites/tile_53.png 1 0
sprites/tile_43.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_68.png 1 0
sprites/tile_44.png 1 0
sprites/tile_55.png 1 0
sprites/tile_63.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_64.png 1 0
sprites/tile_65.png 1 0
